1700010B08Rik	1700010B08Rik
1700010I14Rik	1700010I14Rik
1700010N08Rik	1700010N08Rik
1700011A15Rik	1700011A15Rik
1700011E24Rik	1700011E24Rik
1700011H14Rik	1700011H14Rik
1700011I03Rik	1700011I03Rik
1700011L22Rik	1700011L22Rik
1700011M02Rik	1700011M02Rik
1700012A03Rik	1700012A03Rik
1700012B07Rik	1700012B07Rik
1700012B09Rik	1700012B09Rik
1700012L04Rik	1700012L04Rik
1700012P22Rik	1700012P22Rik
1700013D24Rik	1700013D24Rik
1700013F07Rik	1700013F07Rik
1700013G24Rik	1700013G24Rik
1700013H16Rik	1700013H16Rik
1700014D04Rik	1700014D04Rik
1700015E13Rik	1700015E13Rik
1700015F17Rik	1700015F17Rik
1700015G11Rik	1700015G11Rik
1700016C15Rik	1700016C15Rik
1700016D06Rik	1700016D06Rik
1700016H13Rik	1700016H13Rik
1700016K19Rik	1700016K19Rik
1700017B05Rik	1700017B05Rik
1700017D01Rik	1700017D01Rik
1700017N19Rik	1700017N19Rik
1700018B08Rik	1700018B08Rik
1700018C11Rik	1700018C11Rik
1700018F24Rik	1700018F24Rik
1700019A02Rik	1700019A02Rik
1700019B03Rik	1700019B03Rik
1700019D03Rik	1700019D03Rik
1700019G17Rik	1700019G17Rik
1700019L03Rik	1700019L03Rik
1700019M22Rik	1700019M22Rik
1700019N19Rik	1700019N19Rik
1700019O17Rik	1700019O17Rik
1700020A23Rik	1700020A23Rik
1700020D05Rik	1700020D05Rik
1700020L24Rik	1700020L24Rik
1700020N01Rik	1700020N01Rik
1700020N15Rik	1700020N15Rik
1700021F05Rik	1700021F05Rik
1700021F07Rik	1700021F07Rik
1700021K19Rik	1700021K19Rik
1700022A21Rik	1700022A21Rik
1700022I11Rik	1700022I11Rik
1700023E05Rik	1700023E05Rik
1700023F06Rik	1700023F06Rik
1700024B05Rik	1700024B05Rik
1700024G13Rik	1700024G13Rik
1700024P04Rik	1700024P04Rik
1700024P16Rik	1700024P16Rik
1700025B11Rik	1700025B11Rik
1700025C18Rik	1700025C18Rik
1700025F22Rik	1700025F22Rik
1700025G04Rik	1700025G04Rik
1700026D08Rik	1700026D08Rik
1700026L06Rik	1700026L06Rik
1700028B04Rik	1700028B04Rik
1700028J19Rik	1700028J19Rik
1700028K03Rik	1700028K03Rik
1700028P14Rik	1700028P14Rik
1700029F12Rik	1700029F12Rik
1700029H14Rik	1700029H14Rik
1700029I15Rik	1700029I15Rik
1700029J07Rik	1700029J07Rik
1700029P11Rik	1700029P11Rik
1700030C10Rik	1700030C10Rik
1700030J22Rik	1700030J22Rik
1700030K09Rik	1700030K09Rik
1700031F05Rik	1700031F05Rik
1700031M16Rik	1700031M16Rik
1700034E13Rik	1700034E13Rik
1700034I23Rik	1700034I23Rik
1700034J05Rik	1700034J05Rik
1700034O15Rik	1700034O15Rik
1700037C18Rik	1700037C18Rik
1700037H04Rik	1700037H04Rik
1700039E15Rik	1700039E15Rik
1700040F15Rik	1700040F15Rik
